N,eta,f_ent,fisher,crb,mc_sigma
8,0.99,0.5,11.644768079999999,0.08587547584717549,0.34508455985266095
8,0.99,0.75,27.399964033827,0.03649639827137861,0.21456542523512054
8,0.99,1.0,59.055660443386884,0.016933177827358988,0.14898904130803817
8,0.9,0.0,7.2,0.1388888888888889,0.4281397206135127
8,0.9,0.25,6.210000000000001,0.16103059581320447,0.4457276429087564
8,0.9,0.5,8.8488,0.11300967362806255,0.3721471078549707
8,0.9,0.75,16.148907,0.06192369551697833,0.28086806125266495
8,0.9,1.0,27.549901440000006,0.036297770508466824,0.22397011785256754
8,0.8,0.0,6.4,0.15625,0.45146467931783124
8,0.8,0.25,5.440000000000001,0.18382352941176466,0.46363977067343926
8,0.8,0.5,6.476800000000001,0.154397233201581,0.4451324051977377
8,0.8,0.75,8.677888000000003,0.11523541211870902,0.39240765775888875
8,0.8,1.0,10.737418240000006,0.09313225746154781,0.36170131737036576
8,0.6,0.0,4.8,0.20833333333333334,0.4879482061835818
8,0.6,0.25,3.9599999999999995,0.25252525252525254,0.5846702351976344
8,0.6,0.5,3.4368,0.2909683426443203,0.6128654001234715
8,0.6,0.75,2.4597119999999997,0.4065516613327089,0.7443416395723798
8,0.6,1.0,1.0749542399999996,0.9302721574455117,1.1494449514066727
8,0.4,0.0,3.2,0.3125,0.6423739162657206
8,0.4,0.25,2.5600000000000005,0.39062499999999994,0.7104736548253415
8,0.4,0.5,1.8048000000000002,0.5540780141843971,0.8973861942493403
8,0.4,0.75,0.9105920000000001,1.098186674163621,1.2291603021347373
8,0.4,1.0,0.04194304000000002,23.84185791015624,5.728517189628965
9,0.99,0.0,8.91,0.1122334455667789,0.38142638593948264
9,0.99,0.25,7.919826267421126,0.12626539601172623,0.3959534552592932
9,0.99,0.5,14.132282241108044,0.07075997938190023,0.30870169009806736
9,0.99,0.75,34.158048037789236,0.029275677547314603,0.19535693563509385
9,0.99,1.0,73.99489704617491,0.013514445453934095,0.1377040328644957
9,0.9,0.0,8.1,0.1234567901234568,0.3984155872231734
